dish_name,dish_description,dish_type,allergens,category,price
bibendum imperdiet nullam,Food description final,Non-Veg,Vinyl,Salads,86
ut tellus nulla,Food description test,Non-Veg,Plexiglass,Starters,194
nisl,Food description tested,Non-Veg,Brass,Beverage,249
leo pellentesque,Food description delecious,Non-Veg,,Main Course,390
nulla suspendisse,Food description delecious,Non-Veg,,Side Items,133
leo odio condimentum,Food description default,Veg,Steel,Side Items,211
curabitur at,Food description default,Veg,,Beverage,482
diam neque vestibulum,Food description tasty,Non-Veg,,Starters,270
massa,Food description tasty,Non-Veg,,Beverage,293
sapien,Food description tasty,Veg,Glass,Salads,314
at dolor quis,Food description 1,Veg,Brass,Starters,402
sed lacus,Food description delecious,Non-Veg,Brass,Starters,351
tempor turpis nec,Food description Random,Non-Veg,Steel,Side Items,423
vivamus,Food description tested,Non-Veg,Plastic,Beverage,103
primis in,Food description delecious,Non-Veg,Rubber,Main Course,434
ac,Food description tested,Non-Veg,Plastic,Salads,194
vel,Food description final,Non-Veg,Rubber,Salads,123
vel,Food description tested,Non-Veg,Plexiglass,Desserts,316
amet,Food description test,Non-Veg,,Desserts,123
ipsum ac,Food description Random,Non-Veg,Wood,Beverage,186
est phasellus sit,Food description Random,Veg,Stone,Main Course,341
a libero,Food description test,Non-Veg,Glass,Desserts,432
consequat ut,Food description 1,Non-Veg,,Beverage,143
vestibulum ante ipsum,Food description final,Non-Veg,Aluminum,Side Items,332
a odio,Food description default,Non-Veg,,Beverage,472
magna,Food description Random,Non-Veg,,Salads,154
curae mauris,Food description default,Veg,Rubber,Starters,418
venenatis turpis,Food description default,Veg,Aluminum,Desserts,251
ante ipsum,Food description tested,Veg,Plastic,Main Course,102
in felis,Food description tested,Non-Veg,Rubber,Salads,425
quisque erat eros,Food description final,Veg,Glass,Main Course,233
risus praesent lectus,Food description test,Veg,Aluminum,Side Items,240
morbi a,Food description default,Veg,,Beverage,438
eget eleifend,Food description tasty,Veg,Wood,Beverage,353
faucibus,Food description tasty,Veg,,Main Course,323
dui vel,Food description test,Veg,Aluminum,Desserts,217
convallis,Food description final,Veg,Vinyl,Side Items,237
lacinia sapien quis,Food description tested,Veg,Glass,Desserts,473
pharetra magna,Food description default,Veg,Vinyl,Salads,170
luctus,Food description delecious,Non-Veg,Brass,Main Course,153
enim sit amet,Food description Random,Non-Veg,Rubber,Main Course,431
blandit non,Food description 1,Non-Veg,Steel,Desserts,259
diam vitae,Food description test,Veg,Granite,Salads,148
suscipit a feugiat,Food description default,Non-Veg,,Main Course,159
erat quisque erat,Food description tested,Non-Veg,,Desserts,470
et,Food description final,Veg,,Starters,212
rutrum nulla nunc,Food description Random,Non-Veg,Rubber,Salads,457
etiam faucibus cursus,Food description tasty,Non-Veg,Plexiglass,Side Items,492
rhoncus dui vel,Food description default,Veg,Brass,Desserts,462
nibh,Food description delecious,Non-Veg,Wood,Salads,172
nec,Food description default,Veg,Stone,Desserts,128
ut,Food description final,Non-Veg,,Main Course,288
sit,Food description final,Non-Veg,,Starters,192
ullamcorper augue,Food description tasty,Veg,,Desserts,469
sapien iaculis,Food description test,Non-Veg,Rubber,Desserts,440
libero nullam,Food description 1,Non-Veg,,Beverage,467
eu tincidunt in,Food description 1,Veg,Aluminum,Beverage,457
est et tempus,Food description tasty,Veg,,Side Items,258
libero rutrum,Food description tested,Non-Veg,,Starters,489
in,Food description 1,Veg,,Side Items,478
luctus ultricies eu,Food description Random,Non-Veg,Rubber,Beverage,414
faucibus orci luctus,Food description default,Veg,,Starters,165
nullam molestie nibh,Food description Random,Veg,,Starters,328
sed lacus,Food description test,Non-Veg,Plexiglass,Main Course,301
sem sed sagittis,Food description 1,Veg,,Desserts,270
et magnis,Food description default,Non-Veg,,Side Items,238
tincidunt ante,Food description Random,Veg,,Beverage,465
amet nulla,Food description Random,Non-Veg,,Main Course,101
congue etiam justo,Food description Random,Non-Veg,Stone,Side Items,355
nisi volutpat,Food description tasty,Non-Veg,,Starters,457
maecenas pulvinar,Food description delecious,Non-Veg,,Side Items,248
sapien arcu,Food description delecious,Non-Veg,Vinyl,Starters,232
in quam,Food description final,Non-Veg,Wood,Desserts,491
eget,Food description final,Non-Veg,,Side Items,127
amet sapien,Food description test,Non-Veg,,Salads,306
primis in faucibus,Food description final,Non-Veg,,Main Course,116
lacus,Food description Random,Non-Veg,,Side Items,481
nisl,Food description 1,Non-Veg,Granite,Beverage,260
aliquet at feugiat,Food description final,Veg,,Starters,426
aliquam sit amet,Food description default,Veg,Plexiglass,Salads,216
pellentesque eget,Food description default,Non-Veg,Rubber,Main Course,211
luctus,Food description default,Non-Veg,Brass,Desserts,410
suscipit ligula in,Food description default,Veg,,Main Course,176
nibh quisque,Food description delecious,Non-Veg,Steel,Main Course,248
in quis justo,Food description final,Veg,Steel,Starters,216
interdum mauris,Food description final,Veg,Stone,Starters,243
fusce consequat nulla,Food description Random,Veg,,Desserts,192
non ligula pellentesque,Food description test,Veg,Plexiglass,Beverage,485
nisi vulputate,Food description 1,Non-Veg,,Salads,422
felis,Food description test,Non-Veg,,Starters,329
augue,Food description final,Non-Veg,Stone,Side Items,359
felis,Food description 1,Veg,,Starters,270
potenti in,Food description tasty,Veg,,Beverage,344
arcu libero,Food description test,Veg,Steel,Main Course,348
ac,Food description 1,Veg,Vinyl,Beverage,210
tristique est,Food description tested,Veg,,Side Items,166
eu sapien,Food description delecious,Non-Veg,,Main Course,323
donec quis orci,Food description delecious,Veg,Granite,Side Items,325
morbi porttitor,Food description delecious,Non-Veg,,Main Course,129
justo in hac,Food description test,Non-Veg,,Starters,231
